country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Angola,AGO,Africa,32866268,cases,1779,2020-44,10.172000,10805
Angola,AGO,Africa,32866268,deaths,0,2020-44,0.000000,0
Australia,AUS,Oceania,25499881,cases,3161,2020-32,26.200001,21084
Australia,AUS,Oceania,25499881,deaths,0,2020-32,0.000000,0
Austria,AUT,Europe,8901064,cases,42630,2020-47,1051.739014,246124
Austria,AUT,Europe,8901064,deaths,0,2020-47,0.000000,0
Brazil,BRA,America,212559409,cases,526089,2021-12,495.864014,12573615
Brazil,BRA,America,212559409,deaths,0,2021-12,0.000000,0
China,CHN,Asia,1439323774,cases,30412,2020-7,3.711000,70618
China,CHN,Asia,1439323774,deaths,0,2020-7,0.000000,0
France,FRA,Europe,67320216,cases,373409,2020-45,963.776978,1787324
France,FRA,Europe,67320216,deaths,0,2020-45,0.000000,0
Portugal,PRT,Europe,10295909,cases,83208,2021-4,1649.374023,726321
Portugal,PRT,Europe,10295909,deaths,0,2021-4,0.000000,0
South Africa,ZAF,Africa,59308690,cases,106329,2021-2,399.903992,1337926
South Africa,ZAF,Africa,59308690,deaths,0,2021-2,0.000000,0
Thailand,THA,Asia,69799978,cases,10132,2021-15,20.938000,43742
Thailand,THA,Asia,69799978,deaths,0,2021-15,0.000000,0
United States Of America,USA,America,331002647,cases,1515282,2021-2,996.388977,23938288
United States Of America,USA,America,331002647,deaths,0,2021-2,0.000000,0
