country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count
Angola,AGO,Africa,32866268,cases,1779,2020-44,10.172000,10805
Angola,AGO,Africa,32866268,deaths,0,2020-44,0.000000,0
Australia,AUS,Oceania,25499881,cases,3520,2020-31,24.004000,17923
Australia,AUS,Oceania,25499881,deaths,0,2020-31,0.000000,0
Austria,AUT,Europe,8901064,cases,50986,2020-46,1037.897949,203494
Austria,AUT,Europe,8901064,deaths,0,2020-46,0.000000,0
Brazil,BRA,America,212559409,cases,527917,2021-11,468.509003,12047526
Brazil,BRA,America,212559409,deaths,0,2021-11,0.000000,0
China,CHN,Asia,1439323774,cases,30412,2020-7,3.711000,70618
China,CHN,Asia,1439323774,deaths,0,2020-7,0.000000,0
France,FRA,Europe,67320216,cases,373409,2020-45,963.776978,1787324
France,FRA,Europe,67320216,deaths,0,2020-45,0.000000,0
Portugal,PRT,Europe,10295909,cases,86610,2021-3,1493.990967,643113
Portugal,PRT,Europe,10295909,deaths,0,2021-3,0.000000,0
South Africa,ZAF,Africa,59308690,cases,130849,2021-1,370.479004,1231597
South Africa,ZAF,Africa,59308690,deaths,0,2021-1,0.000000,0
Thailand,THA,Asia,69799978,cases,10132,2021-15,20.938000,43742
Thailand,THA,Asia,69799978,deaths,0,2021-15,0.000000,0
United States Of America,USA,America,331002647,cases,1782792,2021-1,988.317017,22423006
United States Of America,USA,America,331002647,deaths,0,2021-1,0.000000,0
