 Norway,NOR,Europe,5367580,deaths,2020-13,15,3.912378,22
 Ireland,IRL,Europe,4964440,cases,2020-15,4544,141.808548,9655
 Ireland,IRL,Europe,4964440,deaths,2020-15,176,58.012585,334
 Croatia,HRV,Europe,4058165,cases,2020-13,478,16.386717,713
 Croatia,HRV,Europe,4058165,deaths,2020-13,6,1.478501,6
 Bosnia And Herzegovina,BIH,Europe,3280815,cases,2020-15,344,20.848478,1007
 Bosnia And Herzegovina,BIH,Europe,3280815,deaths,2020-15,14,9.753674,38
 Malta,MLT,Europe,514564,cases,2020-15,143,44.309357,384
 Malta,MLT,Europe,514564,deaths,2020-15,3,5.830179,3
 Andorra,AND,Europe,76177,cases,2020-13,221,431.888885,334
 Andorra,AND,Europe,76177,deaths,2020-13,6,78.763931,6
 Gibraltar,GIB,Europe,33691,cases,2020-13,50,192.929855,65
 Gibraltar,GIB,Europe,33691,deaths,2020-13,0,0.000000,0
